"well","compound_id","compound_conc","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std","val_t_310.15","val_t_311.15","val_t_312.15","val_t_313.15","val_t_314.15","val_t_315.15","val_t_316.15","val_t_317.15","val_t_318.15","val_t_319.15","val_t_320.15","val_t_321.15","val_t_322.15","val_t_323.15","val_t_324.15","val_t_325.15","val_t_326.15","val_t_327.15","val_t_328.15","val_t_329.15","val_t_330.15","val_t_331.15","val_t_332.15","val_t_333.15","val_t_334.15","val_t_335.15","val_t_336.15","val_t_337.15","val_t_338.15","val_t_339.15","val_t_340.15","val_t_341.15","val_t_342.15","val_t_343.15","val_t_344.15","val_t_345.15","val_t_346.15","val_t_347.15","val_t_348.15","val_t_349.15","val_t_350.15","val_t_351.15","val_t_352.15","val_t_353.15","val_t_354.15","val_t_355.15","val_t_356.15","val_t_357.15","val_t_358.15","val_t_359.15","val_t_360.15","val_t_361.15","val_t_362.15","val_t_363.15","val_t_364.15","val_t_365.15","val_t_366.15","auc"
"I16","NCGC00356269-01",1111.11111111111,"09","16",180618.885435287,330.6005158883,0.943033773292604,308.993417012329,17728.8773908785,0.0385466267718735,0.0366430579305279,0.0302946601730362,0.0269980077087124,0.025218053377251,0.0307585436501194,0.0362207906586819,0.0473607035083422,0.0597740378143235,0.0776903931816938,0.0967696117818758,0.121185861461045,0.149440841030599,0.178696084681068,0.215787852725066,0.252387106697695,0.292563117464929,0.332212651483888,0.378023781996313,0.425896198377829,0.479745347113601,0.530286911374759,0.581488841163484,0.630751727746631,0.676826657838163,0.715941111952976,0.753302091969192,0.783895367098419,0.810352890407805,0.832750029970679,0.853637917126642,0.873043725674571,0.890993980959754,0.906297827008502,0.921421226757891,0.932759884260187,0.945161889596167,0.956231647808251,0.963628754932413,0.970941140771707,0.978170252545812,0.985317504698914,0.988918979661705,0.992480129562399,0.997143866510404,0.999484133254799,1.0006689688557,1.00184082864289,1.00299992461388,1.00303516005454,1.00196469864473,1.00090570919919,0.998764473455818,0.994470466996272,0.989139749667664,0.983864962008179,0.977574520459771,0.336011508516731
"I17","NCGC00356269-01",370.37037037037,"09","17",181098.572767558,330.290044463445,0.936866587152502,308.775592727798,17622.4390610115,0.0421881638743756,0.0372196134949259,0.0323036807354063,0.030153532920464,0.0293758061226606,0.0326347466340716,0.0385316708869886,0.0496837529771258,0.0620435482584883,0.0782234133009309,0.102091368445323,0.125718056451587,0.155585031167797,0.185153119448355,0.225970924613654,0.262555319842145,0.303859163356754,0.346021584939122,0.391545284067739,0.444135857018139,0.496217952317626,0.546559424071055,0.598885925121408,0.649486062164673,0.693496998748712,0.732228124404808,0.76575385332373,0.792942498483628,0.817479850791259,0.838209211353191,0.858747390155008,0.876731840131093,0.894551939740529,0.907522603715602,0.923875387302606,0.936596948148085,0.945736168566046,0.958246414487295,0.964916514169056,0.972668249940546,0.98035164482754,0.986836909728986,0.991014002354469,0.994033898906562,0.999259623548126,1.00110672446307,1.00293796056177,1.00365185646887,1.00435967291504,1.00396915033404,1.00249420026263,1.00211480428305,0.99958135063299,0.994920781310463,0.991368572856423,0.984650025320957,0.977986807488055,0.325832593901606
"I18","NCGC00356269-01",123.456790123457,"09","18",181089.313953679,331.31128297915,0.941029108022314,309.666907319707,18125.4134496108,0.0368160857640182,0.0328330159158925,0.0289056525413394,0.0279308756867601,0.0269695438404617,0.0288797226907447,0.0336028107941311,0.0410817905080456,0.0540619670767361,0.06686907698514,0.0795065585971373,0.100214302343194,0.124742715076817,0.155727227798426,0.186311945633177,0.221854791456638,0.260931985921846,0.302155794261842,0.345485714849216,0.394794618927982,0.444787017913401,0.494162234582672,0.546771982592364,0.60001246901699,0.647549216961382,0.691999272413995,0.730919170127442,0.763165641802825,0.79132649073356,0.814246407186932,0.836898257649404,0.858073581562392,0.876591859321458,0.892498901528516,0.907031811395581,0.920214011360706,0.934426128723675,0.94496182826387,0.955379811836281,0.964522821824756,0.972411990149272,0.977921503303495,0.98451102001271,0.987626854189629,0.991836893660936,0.996001664388572,0.999006065844019,1.0008686143567,1.00381547276905,1.00453489469398,1.00415432457795,1.00269094961343,1.00232387720566,0.997658327443573,0.994110678701273,0.987405459031404,0.981827498343907,0.347349436135683
"I19","NCGC00356269-01",41.1522633744856,"09","19",175527.357317942,330.925371288744,0.940051686604703,308.691418923842,17384.5066185872,0.0435374908510738,0.0371777660735844,0.0324439539037715,0.0308143377179599,0.0307137524464609,0.033600317476481,0.039406760717221,0.0480678150277311,0.0595201440759454,0.0751512478629888,0.0934313454938887,0.115730947438965,0.143381185083324,0.173452295972993,0.207290520904314,0.242040704971277,0.281818201960537,0.325149834108284,0.370603003701696,0.416784305366366,0.466360312169466,0.515267331291279,0.564841548415821,0.615069638417394,0.658107187671359,0.700579242162214,0.737344067429704,0.76595299367759,0.794193276739248,0.818281609314377,0.839552646688357,0.860554791246553,0.877574144210685,0.894381036795371,0.90730659478304,0.92250624372134,0.93510108878795,0.947542536493087,0.95624946838948,0.963664184081384,0.972170559151909,0.980575795490241,0.984216107452614,0.987813645561224,0.993674698383882,0.996029456407607,0.999496484152851,1.00065787272162,1.00293245674445,1.0029411047048,1.00183591570746,1.00074312979063,0.999662539327374,0.995308344679588,0.99209136151847,0.985660155512986,0.979299154574943,0.347186271821663
"I20","NCGC00356269-01",13.7174211248285,"09","20",180798.518250115,330.760122123263,0.94019088623894,309.152921935173,17825.1892096112,0.0410133188236873,0.0340649033939565,0.0313709699326569,0.0287128768411654,0.0301963359710597,0.0303004965065875,0.0358071104080591,0.0466111598137407,0.058609656241592,0.0717796779797432,0.091365309752101,0.11462840910755,0.140199654292802,0.170619797127763,0.207082632080459,0.243096222476772,0.283741778670518,0.325153173436547,0.371075203363941,0.420181147363165,0.473651844533747,0.525256663688372,0.576251963512614,0.626648479418585,0.672829633298201,0.713666803091823,0.749252482846734,0.777300613973613,0.803847359411016,0.825394049223409,0.849033952812225,0.868924041197824,0.886282130756288,0.902299024735179,0.915854566871721,0.93039749659562,0.94139212266912,0.95226745560004,0.961907736253361,0.968109466155401,0.976456498688412,0.982515116576374,0.98741565716842,0.991176374234164,0.994897779892711,0.998580487332293,1.00115365702789,1.00263441768231,1.00410001667173,1.00344054974825,1.00278776673906,1.002141566541,1.00046266136754,0.995698513677329,0.992010558297154,0.987335277496685,0.980668493366858,0.333097614007665
"I21","NCGC00356269-01",4.57247370827618,"09","21",182674.797457317,331.581475171185,0.939303469957739,310.078889429086,18418.0613601608,0.0355141389672928,0.0313652151829825,0.0258079033624232,0.0247875622549014,0.0252486843184421,0.0257009328292954,0.031879676582638,0.0407822528865449,0.0495183197338371,0.0622742845512196,0.0803205687447181,0.0966699684945979,0.122218210213708,0.145965842290259,0.173289541377698,0.205415662036558,0.24614593440922,0.280982599518217,0.329376444882672,0.376949581099816,0.430047721002135,0.481005934033596,0.538585874854071,0.592753597797084,0.638697009663598,0.683898990852518,0.723560349804376,0.754229018975942,0.784414457405212,0.809423959777631,0.831711736577386,0.852498537152667,0.871818752914547,0.889705732571237,0.903928269937363,0.917938422500568,0.931740912309343,0.94312672738853,0.953247528683642,0.961040081038154,0.970886251459046,0.977366215733161,0.98268669073109,0.987932193443147,0.992051704689452,0.996113973383182,0.998044049568913,1.00097862804118,1.00284932424104,1.00367771329464,1.00449497793875,1.00329444190442,1.00111301313171,0.998960300257279,0.994868209626444,0.988874538068833,0.983929304102061,0.351494439016057
"I22","NCGC00356269-01",1.52415790275873,"09","22",181788.568422905,331.315546074211,0.938771157636395,309.748469638494,18197.5075218603,0.0381898359284133,0.03195600895774,0.0288231144484878,0.0257424345818521,0.0256593144826913,0.0270388005176864,0.0341933101841994,0.0441077754795874,0.0552897839491073,0.0648794460231268,0.0813366631277976,0.101714981603351,0.127305165085884,0.152501655288353,0.181396027671512,0.216605327372431,0.256646723731228,0.300081649487974,0.34419362959026,0.392900195279462,0.444799481577158,0.497238432364092,0.548922869190262,0.60241570048136,0.648828075421149,0.69458675775209,0.730978867674247,0.763151536990614,0.791192064104473,0.815185355692039,0.836426741800642,0.85858562297025,0.875661248678284,0.892509200304311,0.906772784196202,0.920848690107122,0.933575422231763,0.946136872776807,0.955085816874548,0.963920031369131,0.972641708537433,0.977868075426063,0.985271116150771,0.989239020700047,0.993157634696647,0.997027870925142,0.998663234082412,1.00136567787096,1.00295492887621,1.00452503234946,1.00394133884882,1.00442573663526,1.00173981096608,0.998036825714125,0.994377150076445,0.987650633855145,0.98203235438032,0.347384224744428
"I23","NCGC00356269-01",0.508052634252909,"09","23",179232.812677868,330.606473709801,0.938485707300262,308.842520448005,17595.7385447911,0.0430519208232832,0.0357451160603349,0.0330879211293126,0.0304693890199443,0.0308732804251018,0.0327529776553786,0.0390190580631834,0.0466571939027164,0.0614400779003233,0.077457150070947,0.0946827791106264,0.114512521008096,0.146768515953059,0.179988223111795,0.212760390542943,0.253388789990252,0.293477114899171,0.334400271916145,0.382918136359829,0.429457230995668,0.478069124768064,0.530042922863203,0.580031715752356,0.632009996280964,0.676812498587069,0.719757289497257,0.753152964435075,0.782295812486736,0.808536205988706,0.830663359931722,0.851265047317417,0.870368927664096,0.886760721995638,0.901722879332658,0.91650739663076,0.929898120289448,0.940707435739168,0.952595737326268,0.960751904115424,0.967622846628113,0.975599371209301,0.982307369451091,0.987768408232527,0.992003568294643,0.993875652162418,0.998029579706809,0.99984752159595,1.00278408972192,1.00342362261053,1.00518243347982,1.00356174122071,1.00307263125853,1.00148063864755,0.99659897852528,0.99176912563206,0.985899677664269,0.980091865826528,0.336345820058653
"I24","NCGC00356269-01",0.169350878084303,"09","24",188580.694701195,331.345900016979,0.929568358353624,310.503049987326,18892.9631726618,0.0366029328020347,0.0313037254277571,0.0286750254020994,0.0260802241704318,0.0286554524711389,0.0273698321832204,0.0349761212125513,0.0387068504293125,0.0499036256834568,0.0597170529296345,0.0731193732798837,0.0875864166580818,0.109206650449425,0.132993339699436,0.163734860271851,0.201306343167799,0.244393373844725,0.289341702426882,0.344367964393269,0.394064559744335,0.450172385851962,0.502157699845584,0.554697211293901,0.606636583477038,0.654571021597211,0.697436459259714,0.735318285371621,0.76606143947878,0.793124007499414,0.817673872628378,0.839752432331758,0.861589816314826,0.879923341336345,0.89589278705109,0.911690602325197,0.926248128097167,0.939585146638491,0.949600863896228,0.959511203057686,0.967219850659868,0.975891760962593,0.98239761180972,0.986770883250305,0.992126797900878,0.99538361264698,0.99962442848791,0.999774764807904,1.00294408988603,1.00507993501639,1.00520089899457,1.00532066584928,1.0044522504472,1.00359234512276,0.999808692003449,0.99606175714871,0.991383069958317,0.986749350457408,0.34764557692484
"J01","DMSO",0,"10","01",176059.065254659,330.771189059335,0.936150469067174,308.619849179876,17363.2294566374,0.0417498158429075,0.0309492998824779,0.0236270265282413,0.021581828183876,0.0213023000183333,0.0299261603056893,0.0368095652519657,0.0544710744039734,0.0704305589006911,0.0846745376681623,0.104407557524828,0.129673325818461,0.155073572801167,0.184247351588969,0.217224950695807,0.246721992059067,0.287379725077804,0.326418167106911,0.373042106498831,0.418070330835483,0.46519704567634,0.518156746892944,0.569542289284141,0.619340725998897,0.665664973630295,0.708486300772525,0.7440069490266,0.777834941241607,0.804271671552209,0.827055556877077,0.846155966136828,0.863452688840796,0.88084665005498,0.898338672072211,0.910148682521457,0.922025650982781,0.933970148512535,0.945982752679311,0.95416603631248,0.966305436160295,0.974594221830862,0.980964947136382,0.989344076398744,0.991839998616939,0.998316489837126,1.00085315283919,1.00539928924045,1.00597114381674,1.00855273471396,1.00712498149892,1.00568877400429,1.00221979317459,0.998730148809493,0.993183318239524,0.985560810384977,0.975843911890005,0.966068435285891,0.333878395039303
"J02","DMSO",0,"10","02",178522.203969096,329.959590126294,0.938359694999706,308.197318122421,17210.3442561739,0.0463419251002729,0.0390835027416636,0.0333896499775237,0.0321417864735795,0.030910585216925,0.0340072084295762,0.0413461165942918,0.0528440096924212,0.0712380112343441,0.0879943140492027,0.110099643881228,0.138833813967137,0.172697382121149,0.204769656475007,0.240509127142871,0.27849958978308,0.322717649459407,0.36372999366889,0.412180079471862,0.460042119340546,0.509941015679078,0.559241544133723,0.609245953059949,0.659941731498754,0.702382315949457,0.741788165748121,0.773166377070437,0.800418855853813,0.823616824102618,0.845309520670722,0.865522635223077,0.881829682303704,0.899172182875571,0.912684424846384,0.926046349861631,0.939260452348473,0.94994500974798,0.959327098390009,0.967427979213267,0.975441180260453,0.982201702370418,0.986569495056288,0.990890768250642,0.995166261205558,0.998254866731106,1.00017524820919,1.00207560311454,1.0028321808432,1.00358095008079,1.0032095105113,1.00173502716247,1.00027552966933,0.998830790724739,0.995220319627477,0.988391960187574,0.982710893114745,0.977086134626614,0.320738244951901
"J03","NCGC00274266-04",10000,"10","03",173700.730092822,330.178320206456,0.940136075977541,307.824250354229,16849.509077487,0.0467878844362028,0.0416623894156348,0.0295492811684758,0.0299336961570209,0.0285726536319335,0.0324054001757571,0.0412955057088773,0.0568046094990478,0.0754043147147216,0.0920222017501122,0.119911425919913,0.145696227412348,0.175920721500208,0.207256002793482,0.24127114250071,0.276317505678987,0.313940819968462,0.355637431781287,0.401310517457479,0.444731922547677,0.495084127631222,0.543147077919177,0.594966556784474,0.643022469634383,0.687400217675056,0.731111671738341,0.763996492709737,0.794952025757014,0.816859459898812,0.838447561637757,0.858311727975084,0.873686321029637,0.890233002091511,0.905163777599216,0.918512736538522,0.930313015740173,0.943302443587905,0.950739007195042,0.960742444980455,0.969284737581294,0.976395461296268,0.98210339953481,0.986436569210165,0.990712424749552,0.993650393579242,0.997823346103711,0.999412019102232,1.00098022052778,1.00252834354096,1.0028158336793,1.00063350168871,1.00092928201325,0.998785969465481,0.99545910101695,0.990970566303261,0.984146401406077,0.977405352762378,0.335336181217922
"J04","NCGC00274266-04",3333.33333333333,"10","04",178075.458458941,330.550067527661,0.941079287353136,308.661256955249,17454.7139628281,0.0418971629179803,0.0344874050216508,0.0302499313890352,0.0275958178444342,0.0280297633232116,0.0330246642579043,0.0349393616265706,0.0488814989898094,0.0641766985149066,0.0793136080397324,0.100225375326562,0.125348190345763,0.157552814456059,0.18943091141096,0.222440183559056,0.258009070257451,0.294660974000264,0.338104174282835,0.383965847280303,0.427959224910279,0.47857226672407,0.531498570378618,0.578326009580088,0.628870594250277,0.676163763940907,0.718875739171042,0.755702038823766,0.782636155517575,0.810673422243026,0.831694859872906,0.853864342820957,0.871813758306009,0.888265330910534,0.904565454374775,0.918076937513119,0.932778789588249,0.942116528764469,0.952671604579758,0.960539925807301,0.969627841906387,0.977350379004821,0.983725721513735,0.987498755967624,0.991238585188351,0.994945645597987,0.999876684428513,1.00101230553513,1.00213810528361,1.0032542105346,1.00436074597329,1.00299882759091,1.00164848741943,0.999090483409893,0.994126129285585,0.989203447701722,0.981914298300175,0.975884625612602,0.335450295636843
"J05","NCGC00274266-04",1111.11111111111,"10","05",170351.750166904,331.034951947012,0.940076864532851,308.157539006463,16922.7118930471,0.0417328571768587,0.035073849149794,0.0284077788625473,0.0247208451517854,0.0270055876494522,0.0292927571085602,0.0390597842637315,0.0533260389652334,0.0691045486250995,0.0863977279563863,0.105207996815856,0.128536719232845,0.159391659413073,0.184275238579456,0.215192857993441,0.24464082279535,0.283141102008528,0.321682540364646,0.361770286994413,0.409430378064899,0.457141502511666,0.506411244149421,0.55422548952569,0.603600134308077,0.651517833539869,0.693444024239288,0.729369052030105,0.759283241782925,0.78771642497187,0.810124241742494,0.831041376660653,0.85046542125824,0.869910399184848,0.883307324766049,0.902790997172954,0.916220130452067,0.929663767594796,0.941601398095976,0.95050922350617,0.96247104304729,0.971399804315571,0.977290580317957,0.983187739214893,0.98756581201148,0.99347494050363,0.996336212230804,0.999200590995063,1.00053928766851,1.00340906475244,1.00169059216945,1.00150153921975,1.00131228041981,0.998056899381026,0.991730382825324,0.986931596292255,0.980592105966615,0.971173083127539,0.349311863623951
