"well","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std"
"G11","07","11",170724.976962773,331.178182863283,0.944773468486132,308.32825445648,17026.2899255777
"G12","07","12",145820.819414205,335.854497710287,0.958445601565937,308.692335169499,16370.4842102721
"G13","07","13",170709.062380043,331.87830105565,0.947016567441798,308.933015438978,17348.9096170717
"G14","07","14",140297.903259617,335.520246339366,0.953950843776169,307.432067569984,15626.3810095245
"G15","07","15",175966.783576122,331.784569042869,0.948479987502329,309.490962947104,17838.5840803763
"G16","07","16",136214.153707998,336.003839321747,0.946472178569913,307.066335063783,15345.7433647741
"G17","07","17",162378.195389637,331.22832994405,0.943619177751786,307.281755162398,16216.0027909603
"G18","07","18",132010.170381107,335.132475571171,0.949633643059754,305.502533493654,14567.5613589668
"G19","07","19",171535.519406835,331.197081797046,0.955124508344352,308.445200177213,17115.9368620592
"G20","07","20",136782.084629527,335.283583298475,0.947517923176319,306.574098790838,15148.9938259459
"G21","07","21",166863.352998283,331.417481347243,0.944862703067464,308.043466695813,16749.63994308
"G22","07","22",144111.778958261,335.725727806501,0.953870006109547,308.287971866454,16129.5501992845
"G23","07","23",169413.552849963,331.628893469199,0.948874972477251,308.553873891769,17102.786879543
"G24","07","24",132368.824298616,334.969646573761,0.956012770334511,305.440355334266,14549.8954245875
"H01","08","01",169057.772607472,331.250453261738,0.953671863076803,308.181160126509,16893.2263959969
"H02","08","02",140902.708756281,335.664651889889,0.954245187515294,307.66390131601,15747.6101209139
"H03","08","03",171928.636260761,331.628474251015,0.951546710157336,308.867899122742,17356.4964078182
"H04","08","04",129107.877351548,334.829917945836,0.947968077510425,304.646110827006,14143.4982168528
"H05","08","05",170605.761703641,331.440710658015,0.950028781763159,308.54090632009,17136.0574209195
"H06","08","06",144186.69253965,336.12665011797,0.953483331316105,308.639126704387,16290.6677358779
"H07","08","07",166277.067178034,331.067167664335,0.953775872822253,307.664367620486,16532.5064930104
"H08","08","08",132449.559285811,334.988936747351,0.949453774462213,305.472809784341,14565.5584453658
"H09","08","09",171324.157577419,331.332519882879,0.950464360129652,308.536507659353,17157.8910130514
"H10","08","10",144842.783004699,336.015774070975,0.950942530469469,308.659941459861,16322.4006736918
"H11","08","11",171794.653891273,331.515758368908,0.950939303689856,308.753600729255,17290.4568368295
"H12","08","12",132793.739161312,335.116662839279,0.946270260575767,305.648840754994,14648.4550817389
"H13","08","13",169675.818241465,331.557953767404,0.948968887554489,308.525637264504,17096.624668018
"H14","08","14",145731.033792218,335.807025123311,0.94578632002039,308.636853726428,16342.1155312175
"H15","08","15",167942.812672212,331.78247742304,0.95221123958536,308.498760525972,17024.2048327284
"H16","08","16",138762.304424498,335.539290685167,0.951048330383462,307.163477417855,15462.3445906349
"H17","08","17",176125.523255031,332.24760501758,0.95057602174801,309.91261894017,18075.25000864
"H18","08","18",141813.114897293,335.660547255191,0.952241912856875,307.825300394052,15847.8188493105
"H19","08","19",176680.299154935,331.55075562485,0.954083168717744,309.371400114514,17798.9505247172
"H20","08","20",130812.55514219,334.766047370043,0.946625945203594,304.951412914096,14308.0182512901
"H21","08","21",175634.809099266,331.837558270753,0.955653292137745,309.497756523946,17830.1332035371
"H22","08","22",141825.371155193,335.615707985677,0.954471971308464,307.789794568783,15832.3577062354
"H23","08","23",175929.512412958,331.841554665414,0.951662647837724,309.536140247923,17861.9546026936
"H24","08","24",141069.32410039,335.713119123779,0.953473123128364,307.734942769014,15784.3215651642
"I01","09","01",175291.57678303,331.457625179317,0.948274715760356,309.126525856687,17614.7588501606
"I02","09","02",141326.932550979,335.881889715084,0.959458474125292,307.923547295525,15876.2124308281
"I03","09","03",170462.759513981,331.738180176141,0.950406041392994,308.780762193332,17259.1948169417
"I04","09","04",142589.139707287,335.772644444958,0.954612319244604,308.058649535196,15976.824180503
"I05","09","05",179638.473071544,332.056406915391,0.945502032056315,310.153768430612,18342.9533018326
"I06","09","06",144609.836365241,335.921278244557,0.958072334092164,308.53975101923,16260.0547211387
"I07","09","07",169379.77703395,331.911885090613,0.948545477206652,308.794551540549,17229.2130103525
"I08","09","08",142221.572911594,335.616612832024,0.954460973176016,307.861662985861,15876.927437162
"I09","09","09",175752.683814306,331.878597173168,0.948808991283312,309.547433676358,17861.6262843333
"I10","09","10",140804.089602649,335.76875289253,0.95186642831289,307.733371594532,15775.3638698925
"I11","09","11",178013.558005931,332.395147555807,0.943620391072538,310.262291783885,18339.9204400955
"I12","09","12",142544.36589933,335.3177237451,0.948877720551772,307.667716787663,15800.0882088599
"I13","09","13",175627.25609918,331.882767848251,0.947250242833311,309.536187197071,17850.8619059361
"I14","09","14",142677.453739867,335.97329955307,0.95621821932425,308.243296449787,16062.3837651714
"I15","09","15",176525.231701876,331.966040366455,0.945335341718567,309.714729959437,17981.9127111282
"I16","09","16",141766.888151165,335.779726748604,0.950862012333246,307.917201254707,15887.347681125
"I17","09","17",166914.798835567,331.656267555175,0.95213608472957,308.256453497704,16862.9163860815
"I18","09","18",142123.252482424,335.916087947877,0.944709232134234,308.095994664036,15978.5120310236
"I19","09","19",168001.007739494,331.598323709204,0.95346519652006,308.347032467261,16946.2620543009
"I20","09","20",143545.729417308,336.260722046291,0.955387781203135,308.63942144789,16269.0169742811
"I21","09","21",174934.015502859,332.038690083739,0.948778615928529,309.589170551425,17854.1983615983
"I22","09","22",143013.598062359,335.946349378031,0.953422925659166,308.280412149567,16090.0451163757
"I23","09","23",173601.689773621,331.901962120202,0.947611260132062,309.309866931915,17654.0012593245
"I24","09","24",139510.305939177,335.477346255975,0.952997631256717,307.250856458544,15522.8052033513
"J01","10","01",168028.682903471,330.960044376549,0.954969374757435,307.798599634396,16657.6861354404
"J02","10","02",139531.290323269,335.655672094977,0.948773026815351,307.404321662059,15591.0215644226
"J03","10","03",174647.411737502,331.871897765769,0.95049509663277,309.409851102459,17746.1309719718
"J04","10","04",142286.700780257,336.144693841723,0.951330950168091,308.317642423773,16082.7754622843
"J05","10","05",174601.050271242,331.590295178427,0.945713022779279,309.159512066433,17608.2073101445
"J06","10","06",137132.706159498,335.545201663575,0.952279532327399,306.86004693704,15282.9042885486
"J07","10","07",175725.92339828,332.127676803266,0.9471960068979,309.760934086072,17977.2992382054
"J08","10","08",142157.03924388,335.931690090416,0.949777022406601,308.115184569881,15988.1706886237
"J09","10","09",177575.411552833,332.34007986572,0.944230807652913,310.163363071727,18268.3879285115
"J10","10","10",140466.45736665,335.957853726606,0.952590502245856,307.830392892904,15807.7425924223
"J11","10","11",176717.007358488,331.839587056283,0.948047842746019,309.627172218308,17940.9667681384
"J12","10","12",130904.820204012,335.332773886231,0.944899786733486,305.440820023347,14515.1464733205
"J13","10","13",175288.954361289,331.984287784436,0.948432203889976,309.58425241201,17864.6313862412
"J14","10","14",138649.730631287,335.842130260407,0.952226471128238,307.396118304968,15560.8937552671
"J15","10","15",176022.971582572,331.801228247547,0.946752662717531,309.512097457034,17852.2220210629
"J16","10","16",136336.966818521,335.655376604217,0.95121283374048,306.799061569911,15233.9859332407
"J17","10","17",177177.797159157,332.224834625434,0.947279609655099,310.016572735523,18172.3444735963
"J18","10","18",136705.155075879,335.369887154393,0.949494662401685,306.63147503982,15171.7570367479
"J19","10","19",175422.081769045,331.788631844325,0.950256558243473,309.429937738712,17785.2953948185
"J20","10","20",136695.401626138,335.603324395064,0.95055147777411,306.824730327247,15255.2041301907
"J21","10","21",177058.565501176,332.549603438977,0.943308409537021,310.28537438084,18315.2960512618
"J22","10","22",137913.270966458,335.914665261048,0.951289414249087,307.317856910061,15504.6773830402
"J23","10","23",177321.876997193,332.183853989074,0.948064533259539,309.997723280953,18167.4900761116
"J24","10","24",136925.579106101,335.847147997368,0.951511630748107,307.072812177869,15369.2054583965
"K01","11","01",168321.182452172,330.681435298077,0.95766627242315,307.59498538818,16558.9267244558
"K02","11","02",137831.013146463,334.755395019504,0.956352975736675,306.331765507194,15071.7770564108
"K03","11","03",171928.004624401,331.181727779005,0.958785145817869,308.48025763463,17147.9238435832
"K04","11","04",137512.778315656,335.01310114837,0.958433620794952,306.487286148164,15131.1917022564
"K05","11","05",167510.543240304,331.036928034647,0.954021567897815,307.798454643099,16641.3675153847
"K06","11","06",135177.447973538,334.661547476132,0.950337131480146,305.743700649667,14747.8485252036
"K07","11","07",173219.034984931,331.221312002125,0.956748738187343,308.672316359691,17295.3265478789
