"","measurement","avg_dmso","sd_dmso","avg_530","sd_530","zprime","zprime_check"
"39","val_t_343.15",0.884969953109187,0.00712396366893313,0.750437321838152,0.0104003168163114,0.609218663464494,TRUE
"40","val_t_344.15",0.901193751026128,0.00618982186202371,0.77975850582548,0.00917707993595378,0.620367996805539,TRUE
"41","val_t_345.15",0.915906036955229,0.00525405742318619,0.806505279662575,0.0079834795043681,0.636998757911437,TRUE
"42","val_t_346.15",0.929332142695838,0.0041197664470913,0.830429999089989,0.00697186283122709,0.663557465775825,TRUE
"43","val_t_347.15",0.940489633592106,0.00356117303635323,0.85111352276242,0.00619865693238727,0.672401387413063,TRUE
"44","val_t_348.15",0.95084437466828,0.00303895165925196,0.869408980942089,0.00571226691980413,0.677613694293163,TRUE
"45","val_t_349.15",0.959652375236869,0.00265979276680189,0.884999809484558,0.0053823851910211,0.676815744638728,TRUE
"46","val_t_350.15",0.967232002221908,0.00237514200713016,0.898719317826208,0.00497972024747184,0.677948879708602,TRUE
"47","val_t_351.15",0.97332011875722,0.00217607672790769,0.910194826458472,0.00456569592948153,0.679600406815557,TRUE
"48","val_t_352.15",0.979203811028752,0.00203987250069073,0.920837304794051,0.00452438240116384,0.66260161904542,TRUE
"49","val_t_353.15",0.983986513584369,0.001873452078558,0.92994764409482,0.00416738356998556,0.664639413873465,TRUE
"50","val_t_354.15",0.988033525168876,0.00170389082582934,0.938131528788052,0.00384600055834002,0.666352543785081,TRUE
"51","val_t_355.15",0.991001123419123,0.00159475271073285,0.944896443910162,0.00361569445148343,0.660959762585263,TRUE
"52","val_t_356.15",0.993506330026079,0.00160021268270187,0.951180399381779,0.00339442026688864,0.645987728546513,TRUE
"53","val_t_357.15",0.995417509594779,0.00149995843815733,0.956659434489456,0.00328267625817008,0.629808651487656,TRUE
"54","val_t_358.15",0.99673265253135,0.00133471820045415,0.961466176393209,0.00297220558781505,0.633624541499519,TRUE
"55","val_t_359.15",0.997623132019292,0.00125936115647453,0.965617569223971,0.0028575157718502,0.61410987008859,TRUE
"56","val_t_360.15",0.998224594970214,0.00107123278188777,0.969438848409358,0.00255700431301247,0.621871495961051,TRUE
"57","val_t_361.15",0.997880816079157,0.00103631519586863,0.972319104504826,0.00237264438231065,0.599914164401731,TRUE
"58","val_t_362.15",0.997641684002728,0.000865809632551028,0.975043764397363,0.00221396510660579,0.591142707876654,TRUE
"59","val_t_363.15",0.996373152984192,0.000793731129568422,0.976760521138675,0.00211845379732199,0.554544497164539,TRUE
"60","val_t_364.15",0.994500614733947,0.00078595424938302,0.97780683697955,0.00190445108867286,0.516513509829047,TRUE
"61","val_t_365.15",0.992117349820154,0.000885103590022055,0.978218474244047,0.00172552705004708,0.436508955179736,FALSE
"62","val_t_366.15",0.98912641830486,0.0010397028124338,0.977854787176206,0.00166144577890104,0.281076032251917,FALSE
"63","val_t_367.15",0.985761658171118,0.00135382894500395,0.977065997457699,0.00152996110125737,0.0050934110810632,FALSE
"64","auc",0.380114038387448,0.00643907808418646,0.448884356347265,0.0070222149422461,0.41277166839778,FALSE
