Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
A1,,-11.193939393939276,4508.073030302991,-4.6969696969697186,1726.559090909099,100000.0,331.15,-7.810899536401803,3475.366054121637,-6.525268852183311,2383.567519031099,168526.2613953302,330.8069533957844,6.320482997775119,0.9431016815171892,307.7297394863697,-1.667759000768136,16636.755085883917
E6,,0.04242424242428573,1065.951212121198,-7.363636363636396,2701.1590909091033,100000.0,338.15,2.2640683361844065,394.70472269926313,-5.494197384411134,2002.089652486476,150465.54034788354,335.11200554398636,5.150905264189614,0.9688611219708961,308.8344177898769,-2.117779953988048,16595.968048024413
C11,,-8.193939393939292,3622.6230303029965,-5.56969696969699,2045.5809090909165,100000.0,332.15,-5.1414509090446705,2693.5811240181624,-7.458914293580349,2723.452126918606,166253.86831943266,331.19114086230803,6.747705983254217,0.9451147461468528,307.76839355405906,-1.7058865405421244,16586.245235133807
E8,,-4.9757575757574966,2619.5221212120955,-6.357575757575785,2333.717272727283,100000.0,333.15,-1.7940952419118033,1649.5821751335225,-7.737892464862191,2826.32193403229,165055.33570929096,331.3464686523879,5.979137480469991,0.954744443147481,307.74441357312645,-1.7214155303856842,16536.329178540513
E2,,-5.7818181818180925,2821.0490909090618,-5.903030303030327,2167.430909090918,100000.0,331.15,-2.567490751943043,1841.2735332135067,-8.111599462356642,2961.397889246965,169498.1034385805,330.2505488096621,6.9544662655071505,0.9412977081934322,307.3709508477988,-1.6132534657080129,16475.315975057445
G10,,-7.933333333333184,3514.123333333285,-5.836363636363661,2142.620909090918,100000.0,332.15,-4.5317294335661185,2475.115393613783,-7.2070802344139056,2633.5379705264018,165930.4156698167,330.95642109171365,6.359452057834944,0.9475149793151085,307.5233218929261,-1.6825447362954264,16448.035878652987
B7,,-6.6727272727271885,3014.073636363609,-5.569696969696992,2044.980909090918,100000.0,334.15,-4.398873006697576,2322.134559093071,-5.93161907634782,2166.0280694023418,153502.96034637178,333.78962862543364,4.437597695039877,0.9601246973559371,308.1873970733746,-1.974252575525071,16389.929555865492
G9,,-6.163636363636293,3008.6881818181587,-6.715151515151542,2463.9345454545555,100000.0,334.15,-3.70334007025204,2264.946489693861,-7.443832332827186,2718.9244768951453,158325.9189084984,332.4630811241556,6.06472451482699,0.9539153268653257,307.7726698899439,-1.8349742721391706,16340.611658877733
A12,,-9.266666666666568,3940.4566666666337,-5.503030303030326,2020.3709090909178,100000.0,332.15,-6.022651197585465,2952.0402403582416,-7.26876798785897,2653.6027170979874,163556.5922474899,331.1492184268889,6.548196044746388,0.9447478098441239,307.3737379177299,-1.7017065556972284,16298.512611238833
D10,,-7.151515151515058,3315.0242424242115,-6.127272727272754,2248.828181818192,100000.0,332.15,-4.281119089345287,2447.0638886416964,-8.202768056975462,2993.6228086598526,164261.86669298483,330.6262976017782,7.556289129076858,0.9395530203074762,307.01766328723755,-1.6499693047123536,16134.884932142517
A11,,-10.21212121212108,4175.543939393896,-5.054545454545475,1856.3763636363715,100000.0,333.15,-7.2203418416370075,3263.9439689832116,-6.1796115973089805,2257.1785300074866,157532.39489263739,332.1411092244991,5.51633416480851,0.9499346571170197,307.3818398238826,-1.8018838775548645,16121.764793569233
F7,,-3.3878787878787358,2175.096060606043,-6.842424242424272,2510.4627272727384,100000.0,333.15,-1.4408955312344252,1597.0163264177193,-5.214853144227457,1897.8189231713334,145091.98174447665,335.0700763742039,7.499278761534733,0.953311285816812,307.90471798513653,-2.113157606707226,15987.124559903208
C10,,-9.642424242424104,4075.8887878787423,-5.993939393939418,2200.6081818181915,100000.0,333.15,-6.338807391528423,3070.4995766413167,-7.2740466590660855,2657.5366517616694,158969.77360459146,331.3813023168749,6.208899277044963,0.9484655774539086,306.93742197742534,-1.7249070434455014,15941.673742496861
D7,,-5.042424242424127,2638.7987878787508,-6.327272727272755,2322.0581818181918,100000.0,335.15,-2.2890341456898855,1806.722076836672,-6.089859269678033,2222.4850446308105,149348.13040984812,333.14273977169137,5.871300220316829,0.958577668210098,306.9819824321378,-1.905743123852048,15687.270466713415
E7,,-3.387878787878716,2089.896060606037,-5.951515151515174,2185.165454545463,100000.0,335.15,-0.4198953614028241,1193.2759061055212,-5.941223849004983,2169.665442225628,151740.14954092598,332.2176817249158,6.2844569836139215,0.9560472882957894,306.57486956357485,-1.8097281804633951,15560.385264899332
F8,,-5.339393939393855,2764.5403030302755,-5.909090909090933,2169.3227272727368,100000.0,334.15,-2.5846534722494297,1938.8868497413443,-5.819479027429611,2123.9504312578315,148954.2013646709,332.4477310598676,7.036039556357627,0.9525845033711715,306.3282508324448,-1.8333903298164387,15367.201100623088
C9,,-7.157575757575676,3303.431212121185,-6.169696969696992,2264.4709090909173,100000.0,335.15,-4.144985098468541,2393.102784986012,-5.817462058542995,2122.944071963567,144814.9544337287,333.15317352424427,5.926336874968822,0.957021776409906,306.23803978232934,-1.9068392134782357,15215.172424525796
A10,,-6.606060606060518,3126.7969696969412,-5.963636363636387,2188.3490909090997,100000.0,334.15,-3.4916579133709065,2185.9654983345695,-5.859754768079577,2136.667834193679,145611.89579949953,332.87436455071764,6.0181197991948965,0.9568890446271135,306.1377030977215,-1.8776502498175915,15189.756530177458
D6,,-5.939393939393828,2923.230303030267,-5.6242424242424445,2064.8072727272806,100000.0,337.15,-3.2005397420970128,2101.9759448006557,-3.6037345953327975,1312.1880432953567,138744.79711688915,334.37446313112594,6.461456782621891,0.9580699863495349,306.18378954058807,-2.0371540574204303,15030.919947452327
G8,,-6.806060606060513,3188.426969696939,-6.296969696969728,2311.7990909091027,100000.0,336.15,-4.292559869952847,2437.080268471441,-4.786415749513044,1744.5731823501942,137569.83771541595,334.33372407614854,6.195070869077224,0.9566586185586264,305.92936528005407,-2.0327428042821865,14888.683643416705
F5,,-0.9212121212120571,1404.8593939393731,-7.987878787878823,2928.816363636376,100000.0,336.15,1.511485255965425,680.2315799039925,-5.997317833513349,2163.33624238478,131128.54837304345,335.9422314907113,9.455938420604339,0.9454160367338741,305.99299865851015,-2.210265257258378,14751.466146917042
C8,,-5.612121212121099,2873.853939393902,-6.236363636363662,2288.6809090909187,100000.0,338.15,-2.608514564678222,1974.1038188938855,-3.702839421636328,1343.5567016871767,134439.46187395995,334.7851415121348,6.753816613941185,0.9593515298470212,305.7018021052025,-2.081869598409668,14711.551081155909
D4,,-2.787878787878717,1989.0060606060374,-6.9878787878788176,2563.666363636375,100000.0,333.15,-0.42802166935749947,1291.340293730254,-5.042367895683779,1821.1063846725665,131939.80557007602,335.30630670579814,10.419066109842717,0.9385579695354888,305.63256127565734,-2.139260976619056,14620.649192758976
B6,,-8.478787878787772,3540.7506060605706,-5.884848484848506,2159.955454545463,100000.0,335.15,-6.051702424656894,2808.5525272217865,-4.971742871664146,1811.2376874045192,131309.36978480677,335.01508779969663,4.319379392735907,0.9592198534913955,305.2609878149477,-2.1071026436353293,14449.293844741636
F6,,-2.5333333333333017,1867.713333333323,-6.515151515151541,2390.9045454545553,100000.0,331.15,0.016889473332174273,1114.2438029364553,-4.405193647284163,1588.4435071152336,128467.9925769318,334.96658357387565,9.460139773915873,0.9436365446284924,304.62241350070275,-2.1017683598342316,14120.072918358794
G6,,-3.266666666666637,2110.5566666666564,-7.2060606060606345,2643.37181818183,100000.0,335.15,-0.9613368736552735,1433.0898245277601,-5.316669646964717,1917.969577110376,126092.87349924672,335.26624092849625,9.78282393866112,0.9398175299910889,304.35046724842374,-2.1348232952149786,13959.334107732568
E5,,-11.927272727272582,4751.116363636316,-5.127272727272745,1883.4781818181882,100000.0,336.15,-8.933725948942435,3853.442095261198,-2.5994579652401493,941.5194440212122,123873.5531946215,336.0109021535936,6.089546631734947,0.9533689400643967,304.4599935394007,-2.217996675468669,13957.774723558552
D5,,-4.14545454545444,2329.1672727272385,-5.848484848484871,2146.804545454554,100000.0,338.15,-0.8346158461875849,1337.202390842306,-3.072344153185025,1105.0057451861896,126685.53752205368,334.82496681631375,8.114424880510942,0.9503929397147477,304.1178159807031,-2.0862297436632247,13876.467842008657
B2,,-7.830303030302918,3376.204848484812,-5.290909090909111,1943.3572727272808,100000.0,336.15,-4.889931434064129,2494.5318613779987,-3.861918448422443,1403.9966347659265,127286.41812941903,334.2937969187995,5.620760579622753,0.9548458853429076,303.8108853548176,-2.02842375938431,13762.189097719393
F4,,-5.333333333333269,2757.9333333333125,-6.2484848484848765,2293.264545454556,100000.0,330.15,-3.0721992654974346,2098.354168052147,-5.895399319188234,2134.230284684686,127245.80280668681,334.21353296848486,10.787127592376056,0.9286939416554444,303.73575202161305,-2.019754227953115,13730.542757683588
G7,,-6.999999999999882,3289.449999999961,-6.8363636363636635,2508.17090909092,100000.0,330.15,-4.4458589773394115,2539.517965043362,-4.712495288126989,1704.4769527732972,123754.28440628458,334.92090866428117,9.531131600375533,0.9381325069020455,303.537426540765,-2.096750947131362,13586.96149149161
D3,,-8.442424242424119,3687.908787878748,-4.806060606060623,1766.2118181818246,100000.0,330.15,-5.4099825728549,2788.2104595275987,-2.2756953212640876,812.0142929624386,121241.81798101391,335.6286317002187,8.563340459142854,0.9444083099583882,303.52809309597666,-2.175116452227421,13538.706217513734
A9,,-9.066666666666505,3859.426666666614,-5.600000000000021,2056.240000000008,100000.0,331.15,-5.958320131638676,2932.2051172612246,-3.542437896773252,1282.9741000000538,123464.59345014377,334.8553613944929,6.339041632261982,0.9547351362773043,303.41688865574287,-2.0895602343708504,13533.641818184127
E4,,-16.981818181817975,6362.929090909022,-2.6787878787878854,987.7836363636388,100000.0,326.15,-13.399907707695242,5295.449131448224,0.37370297345377584,-139.31145148581572,118441.03175442017,336.0365249389377,7.172358570363513,0.9466292276112835,303.17521575516275,-2.220884656255585,13353.664766568938
D2,,-9.284848484848347,4056.4775757575303,-3.9272727272727366,1443.0981818181854,100000.0,332.15,-5.328600157651464,2884.2000121433634,-0.6169372305645546,198.21278110436987,117606.96891410985,335.49713328380204,9.835443455946073,0.9466063689213782,302.52658530293485,-2.1604553125238226,13091.864899554092
C4,,-12.515151515151373,4904.992424242377,-4.496969696969713,1653.1290909090972,100000.0,330.15,-9.9065833065023,4135.88734177633,-3.1298891503948125,1130.2359454945388,116269.05856088926,335.9518151871159,7.023546465323639,0.9421937225664637,302.5536854900496,-2.211343508206639,13082.77337704129
B5,,-5.1757575757574825,2579.5521212120907,-7.121212121212153,2611.6863636363755,100000.0,338.15,-1.9397003890403781,1609.763236302761,-4.420715614485812,1593.4185466785386,117669.5160720771,335.35062152302635,6.011316413468994,0.9574848833714578,302.4232415293175,-2.144174239282819,13053.141551713035
B3,,-2.278787878787795,1549.620606060579,-6.406060606060635,2350.651818181829,100000.0,337.15,0.6799923031943126,663.0116897383677,-4.258293570340682,1540.242326087974,120563.41323247107,334.2872307847324,5.790403544001036,0.9550885059664792,302.2685070319585,-2.027713887433684,13033.186693818088
C7,,-7.33939393939385,3374.4403030302733,-6.327272727272751,2322.258181818191,100000.0,331.15,-4.2788748887253325,2471.4269849578523,-3.7876337653211816,1359.2257405548112,117266.00047359098,335.14841765918726,9.725544055584997,0.9384175073543778,302.1567530641373,-2.121797877970124,12945.4779856856
B4,,-2.8909090909090374,1710.3245454545283,-6.503030303030333,2386.320909090921,100000.0,339.15,-0.200982980522475,905.6338354245563,-4.25752135498343,1539.9003948067768,118579.32317122292,334.68796190459204,5.432121749400702,0.9549455764569995,302.1114098795837,-2.071247912445834,12945.332028217807
A5,,-11.83030303030288,4681.8048484848,-5.018181818181836,1842.6254545454617,100000.0,330.15,-8.843915179286945,3795.2986315047992,-4.2354735418170195,1534.7108486901063,118120.54798444035,334.69369564045434,7.075597809704343,0.9408865548330266,302.0019107281246,-2.0718739094625533,12897.050080872006
A4,,-13.151515151514992,5122.124242424189,-3.787878787878798,1392.5863636363679,100000.0,329.15,-9.647090557442715,4079.057896216031,-3.636317648046474,1316.5735595504134,120384.91185777694,333.9133713626873,7.8639522747821795,0.9375386771371754,301.9199673354008,-1.987485407820344,12893.674463122017
C3,,-13.333333333333123,5254.933333333264,-3.775757575757589,1388.0027272727325,100000.0,328.15,-9.528312726531642,4124.766147762828,-3.276733529238482,1182.470079522164,120241.02898291127,333.88279432205746,8.962562320650404,0.9371049241660317,301.8603626145652,-1.9842117424975925,12868.431769426685
