Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
C6,1.4461944294184665,448.9229002893137,0.44939161123684557,162.604529406905,6781.312175538481,0.36447395317200815,161.29193938252047,9127.949026671393,0.49051734372270267
C7,1.4084290043504033,437.74405690399306,0.4548083841019893,164.4433294690509,6893.498814238874,0.33812158492239963,164.24197176804222,9278.488530269688,0.45503781878782373
C8,1.26712276046044,393.92857344186524,0.4220059791920398,152.5765399209196,6779.02256683949,0.32716614572332026,161.5459971906833,9121.169758692986,0.44013971946769814
C9,1.2156299594902165,378.52505350062137,0.4080376367216139,147.3008162620931,6718.887879934567,0.28864079903472006,160.5534047750142,9043.128177602623,0.3884417497935819
D1,1.5369494963825898,479.3794977083545,0.6416271925504424,231.93327795745395,8406.220348614068,0.326260347720496,200.90433607096227,11297.199206717618,0.438420547843645
D10,1.4486915586343754,451.9195617845747,0.6136961290490175,221.85814946391795,7766.03385869745,0.29880752923696735,185.61180819643926,10436.286040656303,0.4015092121970562
D11,1.352383103613151,420.44445881799595,0.40919196628233273,147.81443405242828,6708.050215463182,0.32133078990151887,160.00574468907612,9036.303421267392,0.4327972178717541
D12,1.3433690759604673,416.9260116676916,0.4080777058325398,147.62967524282627,7037.000556452047,0.3843411638723137,167.37037479158116,9473.13452989367,0.5173078974097544
D2,1.2800261175361298,397.9618713949679,1.0739585634400075,394.89493463353625,5354.374980089721,0.2827630983265494,125.76246709661655,7170.3848698826105,0.37862466231838965
D3,1.4282608333804805,442.74896586373615,1.1412842916018646,420.20782337476385,5549.79488442694,0.3061866777815838,129.96147462147584,7427.734507769753,0.4097489932357538
D4,1.2508989641304251,389.36769334267234,0.7782109324897317,283.9562603404918,6317.778532500253,0.2816848653239084,149.52014151975615,8470.108659611084,0.37761227189871777
D5,1.4954244731204263,463.91072760714286,0.7774585461605928,283.9170053224129,6793.104954115443,0.3528506261104215,160.24505454645612,9114.63816142717,0.4733801014761389
D6,1.454185127841103,451.1667696669939,0.7229498367057743,263.81104519904426,6503.154782617172,0.3376319421837899,153.51730130497228,8728.63248860199,0.45311930306647685
D7,1.5866797285722252,490.972389430203,0.6740655844006718,246.10940349338935,7148.60513656986,0.4354050156648318,168.3316088492148,9603.106686968025,0.5848111331474484
D8,1.1993066501889091,373.51030837827204,0.517458542254928,187.51068558436452,6523.28466541195,0.2784487439018868,155.3775501683748,8764.643093423008,0.37408141337754963
D9,1.2961450725868982,403.24466954293325,0.4534359239036238,163.99998422422888,6610.98590819775,0.3015837934778883,157.60133182994926,8895.798076334066,0.40576190869442613
E1,1.268650648762185,394.1021484070945,0.38167042060157486,137.89109565719272,6770.184781260411,0.34687823432357234,161.33406850584788,9114.692635386795,0.46692748612602203
E10,1.4418479334326035,445.63596242851304,0.7496059738344935,274.64362781755614,5967.093746231013,0.369599613235497,139.95364981658892,8000.130323421538,0.49545316908867115
E11,1.0365461228083004,322.87302922530273,0.4520416261613125,163.8257562114152,5480.023782151795,0.2315853241340011,130.5331852308606,7363.331895506282,0.3111406825220029
E12,1.4336969767455146,446.9701709766369,0.5534656638276504,199.95084897746833,7214.122573954936,0.286884027936548,172.4411414246616,9701.200886778297,0.3857469186616074
E2,1.3570568036778057,420.8626539241218,0.418407660232506,151.54854487577725,7027.566257419832,0.4024451563778671,166.8754563795475,9459.564913132921,0.5416211686108836
E3,2.60061021342665,793.5021746550274,1.0676283919473817,393.02715214359137,9278.709815847684,1.4991041284222346,214.0569978935067,12429.161955374302,2.006784183561823
E4,2.8558350082976265,874.7497024000231,0.9727443149318914,356.42441212238015,9176.364994158968,1.2354763214090816,213.29858088615015,12317.276754567976,1.657450809617064
E5,2.6438954436043915,810.7768033441948,1.4142771208793559,522.573524069394,9890.76529293998,0.8366384922320889,229.0510288190723,13249.764473867039,1.1205480299857031
E6,4.211150304653235,1297.6542646597602,1.6869878949454364,620.9892714986139,17241.548537009785,1.2545321801422769,402.2352539923293,23215.995202933056,1.6889474050638933
E7,5.222278605451191,1606.832980313729,1.9984361340793644,735.9968799036498,18397.54703846204,1.453162813924986,428.6227278002062,24771.60605492676,1.956235477032462
E8,4.46786520586901,1368.574516803401,2.6124066896909497,970.376188198601,13974.205254306255,1.125097281582773,322.3165948739602,18730.0947420335,1.5077596026745501
